# prefix,country_code,region_code,city,postal,latitude,longitude
144.31.18.0/23,FI,FI-18,Helsinki,00100,60.1699,24.9384
144.31.16.0/23,DE,DE-HE,"Frankfurt am Main",60313,50.1109,8.6821
144.31.197.0/24,DE,DE-HE,"Frankfurt am Main",60313,50.1109,8.6821
144.31.196.0/24,DE,DE-HE,"Frankfurt am Main",60313,50.1109,8.6821
144.31.196.0/23,DE,DE-HE,"Frankfurt am Main",60313,50.1109,8.6821
77.239.121.0/24,DE,DE-HE,"Frankfurt am Main",60313,50.1109,8.6821
77.239.120.0/24,DE,DE-HE,"Frankfurt am Main",60313,50.1109,8.6821
77.239.120.0/23,DE,DE-HE,"Frankfurt am Main",60313,50.1109,8.6821
64.188.104.0/23,DE,DE-HE,"Frankfurt am Main",60313,50.1109,8.6821
64.188.106.0/24,DE,DE-HE,"Frankfurt am Main",60313,50.1109,8.6821
64.188.107.0/24,FI,FI-18,Helsinki,00100,60.1699,24.9384
64.188.68.0/23,DE,DE-HE,"Frankfurt am Main",60313,50.1109,8.6821
64.188.70.0/23,DE,DE-HE,"Frankfurt am Main",60313,50.1109,8.6821
64.188.74.0/24,FI,FI-18,Helsinki,00100,60.1699,24.9384
91.132.162.0/23,DE,DE-HE,"Frankfurt am Main",60313,50.1109,8.6821
91.132.160.0/23,DE,DE-HE,"Frankfurt am Main",60313,50.1109,8.6821
193.23.210.0/23,DE,DE-HE,"Frankfurt am Main",60313,50.1109,8.6821
193.23.197.0/24,DE,DE-HE,"Frankfurt am Main",60313,50.1109,8.6821
193.23.219.0/24,DE,DE-HE,"Frankfurt am Main",60313,50.1109,8.6821
193.23.218.0/24,DE,DE-HE,"Frankfurt am Main",60313,50.1109,8.6821
193.135.137.0/24,DE,DE-HE,"Frankfurt am Main",60313,50.1109,8.6821
2a12:bec4:1d70::/44,AL,AL-11,Tirana,1001,41.3275,19.8189
2a12:bec4:1d60::/44,AL,AL-11,Tirana,1001,41.3275,19.8189
2a12:bec4:1bb0::/44,DE,DE-HE,"Frankfurt am Main",60313,50.1109,8.6821
2a12:bec4:1b50::/44,FI,FI-18,Helsinki,00100,60.1699,24.9384
